y,lvl,nis,type,n,p50,name
2010,1,01000,alle_huizen,78871.0,180000.0,BELGIE
2010,1,01000,appartementen,26822.0,150000.0,BELGIE
2010,1,01000,huizen_23,54877.0,160000.0,BELGIE
2010,1,01000,huizen_4plus,23994.0,240000.0,BELGIE
2010,2,02000,alle_huizen,47744.0,200000.0,VLAAMS GEWEST
2010,2,02000,appartementen,15822.0,150000.0,VLAAMS GEWEST
2010,2,02000,huizen_23,33288.0,180000.0,VLAAMS GEWEST
2010,2,02000,huizen_4plus,14456.0,267500.0,VLAAMS GEWEST
2010,2,03000,alle_huizen,28957.0,140000.0,WAALS GEWEST
2010,2,03000,appartementen,3502.0,115000.0,WAALS GEWEST
2010,2,03000,huizen_23,19543.0,122000.0,WAALS GEWEST
2010,2,03000,huizen_4plus,9414.0,200000.0,WAALS GEWEST
2010,2,04000,alle_huizen,2170.0,325000.0,BRUSSELS HOOFDSTEDELIJK GEWEST
2010,2,04000,appartementen,7498.0,160000.0,BRUSSELS HOOFDSTEDELIJK GEWEST
2010,2,04000,huizen_23,2046.0,315000.0,BRUSSELS HOOFDSTEDELIJK GEWEST
2010,2,04000,huizen_4plus,124.0,775000.0,BRUSSELS HOOFDSTEDELIJK GEWEST
2010,3,10000,alle_huizen,12202.0,215000.0,PROVINCIE ANTWERPEN
2010,3,10000,appartementen,6382.0,140000.0,PROVINCIE ANTWERPEN
2010,3,10000,huizen_23,8586.0,198000.0,PROVINCIE ANTWERPEN
2010,3,10000,huizen_4plus,3616.0,287500.0,PROVINCIE ANTWERPEN
2010,3,20001,alle_huizen,8219.0,242000.0,PROVINCIE VLAAMS-BRABANT
2010,3,20001,appartementen,1763.0,165700.0,PROVINCIE VLAAMS-BRABANT
2010,3,20001,huizen_23,5241.0,215000.0,PROVINCIE VLAAMS-BRABANT
2010,3,20001,huizen_4plus,2978.0,300000.0,PROVINCIE VLAAMS-BRABANT
2010,3,20002,alle_huizen,2885.0,260000.0,PROVINCIE WAALS-BRABANT
2010,3,20002,appartementen,578.0,159000.0,PROVINCIE WAALS-BRABANT
2010,3,20002,huizen_23,1477.0,214000.0,PROVINCIE WAALS-BRABANT
2010,3,20002,huizen_4plus,1408.0,320000.0,PROVINCIE WAALS-BRABANT
2010,3,30000,alle_huizen,9963.0,180000.0,PROVINCIE WEST-VLAANDEREN
