"Jaar indiening","Project Besluit VVO Type","Gebouw Functie kort","Handeling","[Project Indiening Datum.autoCalendar.Quarter]","Aantal projecten","Aantal gebouwen","Aantal gebouwen (met gebouwinfo)","Aantal wooneenheden","Aantal (studenten)kamers","Nuttige woonoppervlakte (m²)","Nuttige oppervlakte kamerwoningen (m²)","Bovengronds nuttige oppervlakte (m²)","Bovengronds grond oppervlakte (m²)","Gesloopte oppervlakte (m²)","Gesloopte volume (m³)"
"2018","-","kamerwoning","Verbouwen of hergebruik","Q2","4","4","4","0","34","0,00","46.769","706,62","465,50","0,00","0,00"
"2018","Gemeente","kamerwoning","Verbouwen of hergebruik","Q2","25","25","25","0","312","0,00","32.911","13.162,43","4.910,29","0,00","0,00"
"2018","Gemeente","kamerwoning","Verbouwen of hergebruik","Q4","40","41","41","0","846","0,00","19.322","24.201,57","9.159,51","0,00","0,00"
"2018","Gemeente","kamerwoning","Verbouwen of hergebruik","Q1","19","19","19","0","372","0,00","12.663","17.396,59","6.532,81","0,00","0,00"
"2018","Gemeente","kamerwoning","Verbouwen of hergebruik","Q3","22","23","23","0","942","0,00","12.538","12.376,88","5.014,15","0,00","0,00"
"2018","Gemeente","eengezins- en kamerwoning","Nieuwbouw","Q2","2","2","2","0","348","0,00","7.344","11.189,39","1.172,46","0,00","0,00"
"2018","Provincie","kamerwoning","Nieuwbouw","Q2","1","1","1","0","157","0,00","5.274","5.645,00","266,00","0,00","0,00"
"2018","-","meergezins- en kamerwoning","Nieuwbouw","Q1","1","1","1","0","157","0,00","5.274","5.645,00","266,00","0,00","0,00"
"2018","-","kamerwoning","Verbouwen of hergebruik","Q3","8","8","8","0","170","0,00","3.224","9.496,93","4.169,98","0,00","0,00"
"2018","Gemeente","eengezins- en kamerwoning","Nieuwbouw","Q3","1","1","1","0","111","0,00","2.978","3.295,71","1.700,92","0,00","0,00"
"2018","Provincie","kamerwoning","Verbouwen of hergebruik","Q1","3","3","3","0","24","0,00","1.761","857,42","435,08","0,00","0,00"
"2018","Gemeente","kamerwoning","Nieuwbouw","Q2","4","4","4","0","179","0,00","1.519","2.911,65","1.211,50","0,00","0,00"
"2018","RVVB","kamerwoning","Nieuwbouw","Q2","1","1","1","0","79","0,00","1.497","3.188,24","945,68","0,00","0,00"
"2018","-","kamerwoning","Nieuwbouw","Q4","4","4","4","0","46","0,00","1.486","1.730,23","761,97","0,00","0,00"
"2018","Gemeente","kamerwoning","Nieuwbouw","Q4","5","7","7","0","30","0,00","1.361","1.626,11","626,37","0,00","0,00"
"2018","Provincie","kamerwoning","Nieuwbouw","Q4","1","1","1","0","15","0,00","1.351","1.616,65","978,60","0,00","0,00"
"2018","Gemeente","eengezins- en kamerwoning","Verbouwen of hergebruik","Q3","8","8","8","0","25","0,00","1.226","1.882,26","1.150,76","0,00","0,00"
"2018","RVVB","eengezins- en kamerwoning","Nieuwbouw","Q2","1","1","1","0","58","0,00","1.208","2.415,43","709,24","0,00","0,00"
